r28^t,r29^t,r35^t,c2^t,c4^t,o1^t,c4^t+1,
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5
0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.07692307692307691
0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.923076923076923
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.25
0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5
0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.14285714285714285
0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.8571428571428572
0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.3333333333333333
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5
0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5
0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0909090909090909
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9090909090909091
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11111111111111112
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.888888888888889
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.043478260869565216
1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9565217391304347
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5
1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333
1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.6666666666666666
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.06666666666666667
1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9333333333333332
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5
1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.19999999999999998
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.7999999999999999
1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.3333333333333333
1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5
1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.25
