r5^t,r6^t,r10^t,r11^t,r15^t,r16^t,c3a^t,c3b^t,c3a^t+1,
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666667
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.33333333333333337
0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538463
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.15384615384615385
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.15384615384615385
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8461538461538463
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8055555555555556
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.19444444444444448
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5
0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.2571428571428572
0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7428571428571429
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5
0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5
