r17^t,r18^t,r19^t,r20^t,r21^t,c3a^t,c3b^t,o1^t,c3b^t+1,
0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5
0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.3888888888888889
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.611111111111111
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.4
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8484848484848484
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1515151515151515
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.65
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.35000000000000003
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.380952380952381
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.619047619047619
0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.45454545454545453
0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5454545454545454
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5
